Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"i_content",8EEA36E7-B128-B2E3-8F78-43DD7F7DA0D3,79,,987F820F-3338-2D0F-4267-10BFCAF6C856,77,N,Logical Type,,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,,,,,"UserIntentory",,,,4,,,,,
"i_id",01DC1F09-CBC3-2C34-0E11-9B13CD7EF6D5,80,,987F820F-3338-2D0F-4267-10BFCAF6C856,77,Y,Logical Type,,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,,,,,"UserIntentory",P,,,1,,,,,
"i_name",A361497A-A535-73E6-C2B9-AFAE4D222381,81,,987F820F-3338-2D0F-4267-10BFCAF6C856,77,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"UserIntentory",,,,2,50 BYTE,,,,
"i_type",2B0A9523-10DA-0F9B-2E1E-79DC4D94C45C,82,,987F820F-3338-2D0F-4267-10BFCAF6C856,77,N,Logical Type,,,,,DOM3000004,1,LOGDT018,46,,,,,,,,,N,,SMALLINT,,,,,,,,"UserIntentory",,,,3,,,,,
"q_end",D7F688A1-3FC8-F350-35A1-BEF28919FE3F,83,,E6B5E355-647F-576E-F0A2-79991DB96A30,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,,,,,"Quest",,,,3,,,,,
"q_id",B61103DB-2FF3-EE2C-A2BE-E396D73CF46A,84,,E6B5E355-647F-576E-F0A2-79991DB96A30,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,,,,,"Quest",P,,,1,,,,,
"q_start",810A5172-263E-F79C-220D-CD8C1025ABED,85,,E6B5E355-647F-576E-F0A2-79991DB96A30,72,N,Logical Type,,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,,,,,"Quest",,,,2,,,,,
"qi_data",134E97AA-1F70-0463-1A1A-A099F5FCE2C2,86,,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,,,,,"QuestTaskItem",,,,3,,,,,
"qi_evaluation",5ED5E25E-B635-0AFE-92C1-76803423E61B,87,,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT020,21,,,,,,,,,N,,DOUBLE,,,,,,,,"QuestTaskItem",,,,5,,,,,
"qi_id",133BB375-3D7C-16D1-D72C-6E2CDBEA0BC1,88,,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT027,5,,,,,,,,,N,,BIGINT,,,,,,,,"QuestTaskItem",P,,,1,,,,,
"qi_name",0515AB57-8CC1-570B-EBA9-24458A610596,89,,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"QuestTaskItem",,,,2,60 BYTE,,,,
"qi_uri_image",6F0C35C8-2BE2-88C8-8907-04A210C88A28,90,,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,N,Logical Type,,,,,DOM3000004,1,LOGDT040,53,,,,,,,,,N,,TEXT,,,,,,,,"QuestTaskItem",,,,4,,,,,
