ObjectID,NumOID,Type,Sequence,Text
8EEA36E7-B128-B2E3-8F78-43DD7F7DA0D3,79,Attribute,1,"JSON string describing properties of the object; because we have really strange objects we keep it in JSON with the original parser from old engine of JM.",
A361497A-A535-73E6-C2B9-AFAE4D222381,81,Attribute,1,"Names of items should be keept long to allow simpler search.",
2B0A9523-10DA-0F9B-2E1E-79DC4D94C45C,82,Attribute,1,"We only support fixed set of equipment and item types, thous we can use fixed smallint without accom. table with types, because as such we know them and only need to enumerate them. Also item can have no type indicating it has multiple types. In those cases the JSON inside <i_value> keeps track of all its properties.",
D7F688A1-3FC8-F350-35A1-BEF28919FE3F,83,Attribute,1,"The end of the qest is mandatory",
810A5172-263E-F79C-220D-CD8C1025ABED,85,Attribute,1,"The begining of the quest is not mandatory as the old qest were not marked with start date, but new records should treat this field as mandatory.",
134E97AA-1F70-0463-1A1A-A099F5FCE2C2,86,Attribute,1,"JSON data for the quest task",
5ED5E25E-B635-0AFE-92C1-76803423E61B,87,Attribute,1,"Point or percent to evaluate.",
295CF572-3059-2F7A-7412-D6E914D14151,91,Attribute,1,"0-100 -> dificulty multiplicator for the quest",
A648F647-796F-2D4A-261C-7C11AB71D59B,93,Attribute,1,"We allow only 60bytes in qest-task. No reason really, just old habits.",
5F75146C-568A-57B0-FA69-A49520B17C07,94,Attribute,1,"The quest-task have fixed type for which smallint is sufficient.",
306DA8D9-0EA1-5B5A-2090-5A85E1DD99EB,95,Attribute,1,"URI to <Quest Task> image for the menu.",
D0B029D2-3795-A215-6F2D-78E5C5670C46,96,Attribute,1,"URI for the game data if any.",
C2CAE03A-0DC8-3510-DF82-09DA347E852D,97,Attribute,1,"Uses common axiom, that user`s email should not be longer than 255 characters.",
72044D4E-9372-B9F9-48DF-991DC8E40DAB,98,Attribute,1,"Primary key of <USER> table",
0DD781E7-690A-4BF4-6CFE-5A27226A542B,99,Attribute,1,"Passwords are mandatory, no user can exist without password for security reasons.",
56BBEEDF-9C49-103F-2656-B3721BC6B29F,100,Attribute,1,"Shoud not by longer than 60 characters",
0FCDE4AB-41BF-C9C2-9F47-A66DBE1224A2,101,Attribute,1,"DOB = day of birth, manadatory",
7AD9E986-A30F-D352-1242-6F4F211DC47D,102,Attribute,1,"Maximum allowed 'name' range is 80Bytes",
9EA9EEA2-CE60-AFA5-663F-0593725C4AFF,103,Attribute,1,"Nickname are usually short : max length 30B",
473122B6-0C36-38A4-A04B-10EFF0C9DD6D,104,Attribute,1,"Maximum allowed length is 100Bytes",
