FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"FK_ASS_17",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,6E249AB1-4F99-7092-3858-2E083289A090,232,,User_inventory,User,Y,NO ACTION,776C13CF-C0E8-B699-FE19-5F038705B320,152,5D589AEE-D216-4847-85D5-51809CB6B333,149,F407E168-C442-5285-5056-E773C018C25B,209,1,
"FK_ASS_18",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,75BC1B13-19C9-EBB0-87D3-2591ED830BF9,233,,User_inventory,UserIntentory,Y,NO ACTION,776C13CF-C0E8-B699-FE19-5F038705B320,152,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,28FD1F87-5F1D-5A80-8971-BF642BF1985E,211,1,
"FK_ASS_21",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,F44279DD-148E-E7EB-08CD-43E2B5AF54D4,234,,Users__World,User,Y,NO ACTION,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,5D589AEE-D216-4847-85D5-51809CB6B333,149,F407E168-C442-5285-5056-E773C018C25B,209,1,
"FK_ASS_22",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,9451355E-E3E0-8936-BFE9-35B1092827DE,235,,Users__World,World,Y,NO ACTION,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,C6ACEB30-B468-BC75-1F90-69BE6F8CE796,212,1,
"JourneyTask_Journey_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,AEA0E7B0-A4BD-F048-33C7-5DA1C2BD557A,236,,JourneyTask,Journey,Y,NO ACTION,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,2D083574-2B1C-4D76-5093-BE8958E15158,204,1,
"JourneyTask_QuestTaskItem_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,6FE897B8-9534-2EB7-9283-F2CCAB203BE8,237,,JourneyTask,QuestTaskItem,Y,NO ACTION,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,B8C9DD8E-624A-4DDD-F1ED-E445C13F5A18,208,1,
"JourneyTask_QuestTask_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,93884011-8D5A-3E8F-B533-179233ABD4CE,238,,JourneyTask,QuestTask,Y,NO ACTION,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,DE239CAD-1231-C687-F969-A39A0E39D2CA,207,1,
"Journey_User_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,2A32F649-0020-5A7B-FC0A-03085443801D,239,,Journey,User,Y,NO ACTION,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,5D589AEE-D216-4847-85D5-51809CB6B333,149,F407E168-C442-5285-5056-E773C018C25B,209,1,
"QuestTaskItem_QuestTask_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,B55FCD82-B380-D76E-60BF-68C8066E6340,240,,QuestTaskItem,QuestTask,Y,NO ACTION,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,DE239CAD-1231-C687-F969-A39A0E39D2CA,207,1,
"QuestTask_Quest_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,EF6F06DC-FA26-4090-C950-83FECEC18EB3,241,,QuestTask,Quest,Y,NO ACTION,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,741233A4-8E97-8D51-4B28-4098E59EF913,146,E4ADD54E-7E68-659A-5CE1-05A15F28EF32,206,1,
"Quest_World_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,B2E08061-558B-B593-7E4B-7D1C6AF23425,242,,Quest,World,Y,NO ACTION,741233A4-8E97-8D51-4B28-4098E59EF913,146,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,C6ACEB30-B468-BC75-1F90-69BE6F8CE796,212,1,
"UserDetails_User_FK",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,5BD400C7-962A-2C04-15F3-8E7CB35B673C,243,,UserDetails,User,Y,NO ACTION,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,5D589AEE-D216-4847-85D5-51809CB6B333,149,F407E168-C442-5285-5056-E773C018C25B,209,1,
"User_inventory",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,D42D4676-E7FA-1F14-7456-E57038F35F02,244,,UserIntentory,User,Y,NO ACTION,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,5D589AEE-D216-4847-85D5-51809CB6B333,149,F407E168-C442-5285-5056-E773C018C25B,209,1,
"User_inventoryv1",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,AC592AB6-7A16-2884-0D5F-D2EF9EFB75A3,245,,User,UserIntentory,Y,NO ACTION,5D589AEE-D216-4847-85D5-51809CB6B333,149,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,28FD1F87-5F1D-5A80-8971-BF642BF1985E,211,1,
"Users__World",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,723265C7-9536-DB89-BEFC-BB600BE30612,246,,World,User,Y,NO ACTION,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,5D589AEE-D216-4847-85D5-51809CB6B333,149,F407E168-C442-5285-5056-E773C018C25B,209,1,
"Users__Worldv1",EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,D173FC4F-87B0-4C2B-BC1D-42492E6DC4D6,247,,User,World,Y,NO ACTION,5D589AEE-D216-4847-85D5-51809CB6B333,149,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,C6ACEB30-B468-BC75-1F90-69BE6F8CE796,212,1,
