Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Journey_PK",2D083574-2B1C-4D76-5093-BE8958E15158,204,,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,Primary Constraint,,N,Y,"Journey",N,,,,
"JourneyTask_PK",6885FA59-90E2-0CCC-426C-D2BBFF257D39,205,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Primary Constraint,,N,Y,"JourneyTask",N,,,,
"Quest_PK",E4ADD54E-7E68-659A-5CE1-05A15F28EF32,206,,741233A4-8E97-8D51-4B28-4098E59EF913,146,Primary Constraint,,N,Y,"Quest",N,,,,
"QuestTask_PK",DE239CAD-1231-C687-F969-A39A0E39D2CA,207,,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,Primary Constraint,,N,Y,"QuestTask",N,,,,
"QuestTaskItem_PK",B8C9DD8E-624A-4DDD-F1ED-E445C13F5A18,208,,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,Primary Constraint,,N,Y,"QuestTaskItem",N,,,,
"User_PK",F407E168-C442-5285-5056-E773C018C25B,209,,5D589AEE-D216-4847-85D5-51809CB6B333,149,Primary Constraint,,N,Y,"User",N,,,,
"UserDetails_PK",9C2A4470-78C0-CFF5-B707-5CD589D762FC,210,,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,Primary Constraint,,N,Y,"UserDetails",N,,,,
"UserIntentory_PK",28FD1F87-5F1D-5A80-8971-BF642BF1985E,211,,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,Primary Constraint,,N,Y,"UserIntentory",N,,,,
"World_PK",C6ACEB30-B468-BC75-1F90-69BE6F8CE796,212,,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,Primary Constraint,,N,Y,"World",N,,,,
"JourneyTask_Journey_FK",14E984DF-EE11-5D4D-3D33-926AC4112AA2,213,,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,Foreign Key,,N,Y,"JourneyTask",N,,,,
