Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
"Journey__JourneyTasks",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,420E3FF9-005D-7022-1252-BF1BEC3C35DE,133,,"Journey","JourneyTask",,,"*","1",N,N,"None",Y,31B5CFED-1BC9-AA3B-378A-07AB240C8496,70,7C673D94-05C5-9198-B164-93EC84697FBA,71,1,
"QuestTask__Journey task",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,A69E995E-8A63-4BCC-5960-D06D1BC60C06,134,,"QuestTask","JourneyTask",,,"*","1",N,N,"None",Y,23559D94-DEDB-EF76-F8C4-528EB5FAE26A,73,7C673D94-05C5-9198-B164-93EC84697FBA,71,1,
"Quest__QuestTask",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,2B6B2235-C353-1CC5-704B-F1A57FBB9382,135,,"Quest","QuestTask",,,"*","1",Y,Y,"None",N,E6B5E355-647F-576E-F0A2-79991DB96A30,72,23559D94-DEDB-EF76-F8C4-528EB5FAE26A,73,1,
"Quest__tasks",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,46B1D86D-98A3-4F25-8AC9-FD3A40BC1BF5,136,,"QuestTask","QuestTaskItem",,,"*","1",Y,Y,"None",N,23559D94-DEDB-EF76-F8C4-528EB5FAE26A,73,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,1,
"TaskItem __journeyTask",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,D2D8A853-26EF-AA83-E46F-DE33D713BA20,137,,"QuestTaskItem","JourneyTask",,,"*","1",N,N,"None",N,DB86D7BB-F58A-A745-FFC1-8FABD753E46B,74,7C673D94-05C5-9198-B164-93EC84697FBA,71,1,
"User__ Journeys",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,A99E5683-6F0C-612E-4621-37B5F8DA0225,138,,"User","Journey",,,"*","1",Y,Y,"None",N,F795F7C7-BCC6-84A2-BAD8-719AC5E92231,75,31B5CFED-1BC9-AA3B-378A-07AB240C8496,70,1,
"User_extra",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,124EAF8A-E3F5-526F-1287-01E001EB5F1D,139,,"User","UserDetails",,,"1","1",N,N,"User",N,F795F7C7-BCC6-84A2-BAD8-719AC5E92231,75,1CD4A8CB-FE60-A7BB-9E7A-A25EA9E41FDC,76,1,
"User_inventory",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,A990A6E0-1DF8-997D-00F9-A92F58425EE8,140,,"User","UserIntentory",,,"*","*",Y,Y,"None",N,F795F7C7-BCC6-84A2-BAD8-719AC5E92231,75,987F820F-3338-2D0F-4267-10BFCAF6C856,77,0,
"Users__World",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,56BA3B51-346C-9D9E-0CE9-833151E555D1,141,,"User","World",,,"*","*",Y,Y,"None",N,F795F7C7-BCC6-84A2-BAD8-719AC5E92231,75,FE0800D1-66DD-12B7-56E1-38920E2B9A56,78,0,
"World_Quest",AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,AB976F1A-816B-0B5D-06C8-1DE24FBD94BB,142,,"World","Quest",,,"*","1",Y,Y,"None",N,FE0800D1-66DD-12B7-56E1-38920E2B9A56,78,E6B5E355-647F-576E-F0A2-79991DB96A30,72,1,
