Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"Journey",903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"JourneyTask",41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Quest",741233A4-8E97-8D51-4B28-4098E59EF913,146,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"QuestTask",9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"QuestTaskItem",38B48F6B-7A60-6A80-3736-1A04C67197D9,148,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,8,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"User",5D589AEE-D216-4847-85D5-51809CB6B333,149,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"UserDetails",283A0530-E285-C5F1-AA99-4FC1BFB42288,150,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"UserIntentory",A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"User_inventory",776C13CF-C0E8-B699-FE19-5F038705B320,152,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Users__World",BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"World",34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,,EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
